Year; Week; 0-5; 5-10; 10-15; 15-20; 20-25; 25-30; 30-35; 35-40; 40-45; 45-50; 50-55; 55-60; 60-65; 65-70; 70-75; 75-80; 80-85; 85-90; 90-95; 95-100; 100+ 
1982; 1;  0.00;  0.00;  0.00;  0.00;  2.50;  5.00; 10.00; 20.00; 22.50; 15.00; 25.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982; 2;  0.00;  0.00;  0.00;  0.00;  5.00;  2.50; 17.50; 20.00; 22.50; 10.00; 22.50;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982; 3;  0.00;  0.00;  0.00;  0.00;  5.00; 15.00; 15.00; 20.00; 12.50; 12.50; 15.00;  5.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982; 4;  0.00;  0.00;  0.00;  0.00; 10.00; 12.50; 27.50; 17.50; 10.00; 12.50;  7.50;  2.50;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982; 5;  0.00;  0.00;  0.00;  0.00;  2.50; 17.50; 37.50; 17.50; 10.00;  7.50;  7.50;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982; 6;  0.00;  0.00;  0.00;  2.50;  0.00; 22.50; 30.00; 15.00; 17.50;  7.50;  2.50;  2.50;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982; 7;  0.00;  0.00;  0.00;  0.00;  2.50; 17.50; 40.00; 17.50; 10.00;  5.00;  2.50;  5.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982; 8;  0.00;  0.00;  0.00;  0.00;  5.00; 22.50; 22.50; 25.00; 10.00;  7.50;  5.00;  2.50;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982; 9;  0.00;  0.00;  0.00;  0.00; 10.00; 30.00; 25.00;  7.50; 12.50; 10.00;  5.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982;10;  0.00;  0.00;  0.00;  2.50; 12.50; 27.50; 17.50; 15.00;  7.50; 10.00;  7.50;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982;11;  0.00;  0.00;  0.00;  2.50; 12.50; 27.50; 15.00; 17.50;  5.00; 10.00;  7.50;  2.50;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982;12;  0.00;  0.00;  0.00;  2.50; 15.00; 20.00; 20.00; 12.50; 12.50;  5.00; 10.00;  2.50;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982;13;  0.00;  0.00;  0.00;  2.50; 17.50; 17.50; 12.50; 15.00;  7.50; 15.00;  2.50;  7.50;  2.50;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
